SRR11105526	cortex-p001-cb_067
SRR11105527	cortex-p028-cb_180
SRR11105528	cortex-p028-cb_179
SRR11105529	cortex-p028-cb_178
SRR11105530	cortex-p028-cb_177
SRR11105531	cortex-p028-cb_176
SRR11105532	cortex-p028-cb_175
SRR11105533	cortex-p028-cb_174
SRR11105534	cortex-p028-cb_173
SRR11105535	cortex-p028-cb_172
SRR11105536	cortex-p028-cb_171
SRR11105539	cortex-p028-cb_140
SRR11105541	cortex-p028-cb_138
SRR11105542	cortex-p028-cb_137
SRR11105544	cortex-p028-cb_135
SRR11105546	cortex-p028-cb_133
SRR11105547	cortex-p028-cb_132
SRR11105548	cortex-p028-cb_131
SRR11105550	cortex-p028-cb_130
SRR11105551	cortex-p028-cb_129
SRR11105553	cortex-p028-cb_127
SRR11105554	cortex-p028-cb_126
SRR11105555	cortex-p028-cb_125
SRR11105556	cortex-p028-cb_124
SRR11105557	cortex-p028-cb_123
SRR11105558	cortex-p028-cb_122
SRR11105559	cortex-p028-cb_121
SRR11105561	cortex-p001-cb_007
SRR11105562	cortex-p028-cb_120
SRR11105563	cortex-p028-cb_119
SRR11105564	cortex-p028-cb_118
SRR11105565	cortex-p028-cb_117
SRR11105566	cortex-p028-cb_116
SRR11105567	cortex-p028-cb_115
SRR11105568	cortex-p028-cb_114
SRR11105569	cortex-p028-cb_113
SRR11105570	cortex-p028-cb_112
SRR11105571	cortex-p028-cb_111
SRR11105572	cortex-p001-cb_060
SRR11105573	cortex-p028-cb_110
SRR11105574	cortex-p028-cb_109
SRR11105575	cortex-p028-cb_108
SRR11105576	cortex-p028-cb_107
SRR11105577	cortex-p028-cb_106
SRR11105578	cortex-p028-cb_105
SRR11105579	cortex-p028-cb_104
SRR11105580	cortex-p028-cb_103
SRR11105581	cortex-p028-cb_102
SRR11105582	cortex-p028-cb_101
SRR11105583	cortex-p001-cb_059
SRR11105584	cortex-p028-cb_100
SRR11105585	cortex-p028-cb_099
SRR11105586	cortex-p028-cb_098
SRR11105587	cortex-p028-cb_097
SRR11105588	cortex-p028-cb_096
SRR11105589	cortex-p028-cb_095
SRR11105590	cortex-p028-cb_094
SRR11105591	cortex-p028-cb_093
SRR11105593	cortex-p028-cb_091
SRR11105595	cortex-p028-cb_090
SRR11105596	cortex-p028-cb_089
SRR11105597	cortex-p028-cb_088
SRR11105598	cortex-p028-cb_087
SRR11105599	cortex-p028-cb_086
SRR11105600	cortex-p028-cb_085
SRR11105601	cortex-p028-cb_084
SRR11105603	cortex-p007-cb_102
SRR11105604	cortex-p007-cb_101
SRR11105605	cortex-p007-cb_100
SRR11105606	cortex-p007-cb_099
SRR11105607	cortex-p007-cb_098
SRR11105608	cortex-p007-cb_097
SRR11105609	cortex-p007-cb_096
SRR11105610	cortex-p007-cb_095
SRR11105615	cortex-p007-cb_091
SRR11105622	cortex-p007-cb_084
SRR11105623	cortex-p007-cb_083
SRR11105624	cortex-p001-cb_038
SRR11105625	cortex-p007-cb_082
SRR11105626	cortex-p007-cb_081
SRR11105627	cortex-p007-cb_080
SRR11105628	cortex-p007-cb_079
SRR11105630	cortex-p007-cb_077
SRR11105634	cortex-p007-cb_131
SRR11105635	cortex-p007-cb_130
SRR11105636	cortex-p007-cb_129
SRR11105638	cortex-p007-cb_127
SRR11105639	cortex-p007-cb_126
SRR11105640	cortex-p007-cb_125
SRR11105642	cortex-p007-cb_123
SRR11105643	cortex-p001-cb_042
SRR11105644	cortex-p007-cb_122
SRR11105645	cortex-p007-cb_121
SRR11105646	cortex-p007-cb_120
SRR11105647	cortex-p007-cb_119
SRR11105648	cortex-p007-cb_118
SRR11105649	cortex-p007-cb_117
SRR11105650	cortex-p007-cb_116
SRR11105651	cortex-p007-cb_115
SRR11105652	cortex-p007-cb_114
SRR11105653	cortex-p007-cb_113
SRR11105654	cortex-p001-cb_041
SRR11105655	cortex-p001-cb_005
SRR11105656	cortex-p007-cb_112
SRR11105658	cortex-p007-cb_110
SRR11105659	cortex-p007-cb_109
SRR11105660	cortex-p007-cb_108
SRR11105661	cortex-p007-cb_107
SRR11105662	cortex-p007-cb_106
SRR11105663	cortex-p007-cb_105
SRR11105664	cortex-p007-cb_104
SRR11105665	cortex-p007-cb_103
SRR11105666	cortex-p001-cb_014
SRR11105667	cortex-p001-cb_130
SRR11105668	cortex-p001-cb_129
SRR11105669	cortex-p001-cb_128
SRR11105670	cortex-p001-cb_127
SRR11105671	cortex-p001-cb_126
SRR11105672	cortex-p001-cb_125
SRR11105673	cortex-p001-cb_124
SRR11105674	cortex-p001-cb_123
SRR11105676	cortex-p001-cb_121
SRR11105678	cortex-p001-cb_120
SRR11105679	cortex-p001-cb_119
SRR11105680	cortex-p001-cb_118
SRR11105681	cortex-p001-cb_117
SRR11105682	cortex-p001-cb_116
SRR11105686	cortex-p001-cb_112
SRR11105688	cortex-p001-cb_012
SRR11105690	cortex-p001-cb_109
SRR11105692	cortex-p001-cb_107
SRR11105693	cortex-p001-cb_106
SRR11105694	cortex-p001-cb_105
SRR11105696	cortex-p001-cb_103
SRR11105698	cortex-p056-cb_218
SRR11105699	cortex-p056-cb_217
SRR11105700	cortex-p056-cb_216
SRR11105702	cortex-p056-cb_214
SRR11105703	cortex-p056-cb_213
SRR11105704	cortex-p056-cb_212
SRR11105705	cortex-p056-cb_211
SRR11105707	cortex-p056-cb_210
SRR11105708	cortex-p056-cb_209
SRR11105709	cortex-p056-cb_208
SRR11105710	cortex-p056-cb_207
SRR11105711	cortex-p056-cb_206
SRR11105712	cortex-p056-cb_205
SRR11105713	cortex-p056-cb_204
SRR11105714	cortex-p056-cb_203
SRR11105715	cortex-p056-cb_202
SRR11105716	cortex-p056-cb_201
SRR11105718	cortex-p056-cb_200
SRR11105722	cortex-p056-cb_196
SRR11105723	cortex-p056-cb_195
SRR11105724	cortex-p056-cb_194
SRR11105725	cortex-p056-cb_193
SRR11105726	cortex-p056-cb_192
SRR11105727	cortex-p056-cb_191
SRR11105729	cortex-p056-cb_190
SRR11105730	cortex-p028-cb_227
SRR11105731	cortex-p028-cb_226
SRR11105732	cortex-p028-cb_225
SRR11105733	cortex-p028-cb_224
SRR11105734	cortex-p028-cb_223
SRR11105735	cortex-p028-cb_222
SRR11105736	cortex-p028-cb_221
SRR11105737	cortex-p001-cb_071
SRR11105738	cortex-p001-cb_008
SRR11105739	cortex-p028-cb_220
SRR11105740	cortex-p028-cb_219
SRR11105742	cortex-p028-cb_217
SRR11105743	cortex-p028-cb_216
SRR11105744	cortex-p028-cb_215
SRR11105745	cortex-p028-cb_214
SRR11105746	cortex-p028-cb_213
SRR11105747	cortex-p028-cb_212
SRR11105748	cortex-p028-cb_211
SRR11105749	cortex-p001-cb_070
SRR11105750	cortex-p028-cb_210
SRR11105751	cortex-p028-cb_209
SRR11105752	cortex-p028-cb_208
SRR11105753	cortex-p028-cb_207
SRR11105754	cortex-p028-cb_206
SRR11105755	cortex-p028-cb_205
SRR11105756	cortex-p028-cb_204
SRR11105757	cortex-p028-cb_203
SRR11105758	cortex-p028-cb_202
SRR11105759	cortex-p028-cb_201
SRR11105760	cortex-p001-cb_069
SRR11105761	cortex-p028-cb_200
SRR11105762	cortex-p028-cb_083
SRR11105763	cortex-p028-cb_082
